id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
13446089,JH245741,2024-05-01 00:01:00,051XX N MILWAUKEE AVE,0460,BATTERY,SIMPLE,RESIDENCE - PORCH / HALLWAY,False,False,1623,16,45,11,08B,1138427.0,1933668.0,2024,2024-12-21T15:40:46.000,41.974116083,-87.766346346,"{'latitude': '41.974116083', 'longitude': '-87.766346346', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13445852,JH245450,2024-05-01 00:01:00,067XX S BELL AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,RESIDENCE,False,False,832,8,16,66,04A,1162560.0,1859920.0,2024,2024-12-21T15:40:46.000,41.771272343,-87.679667495,"{'latitude': '41.771272343', 'longitude': '-87.679667495', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13447885,JH248049,2024-05-01 00:01:00,072XX W MYRTLE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,1612,16,41,10,08A,1126831.0,1940677.0,2024,2024-12-21T15:40:46.000,41.993552169,-87.808831085,"{'latitude': '41.993552169', 'longitude': '-87.808831085', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13446062,JH245753,2024-05-01 00:01:00,0000X S THROOP ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1224,12,27,28,14,1167735.0,1899895.0,2024,2024-12-21T15:40:46.000,41.880858321,-87.659548518,"{'latitude': '41.880858321', 'longitude': '-87.659548518', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13459203,JH262214,2024-05-01 00:01:00,099XX S LAFAYETTE AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,False,False,511,5,9,49,11,1177680.0,1839065.0,2024,2024-12-21T15:40:46.000,41.713714976,-87.624872452,"{'latitude': '41.713714976', 'longitude': '-87.624872452', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13468913,JH274040,2024-05-01 00:01:00,002XX N MORGAN ST,0580,STALKING,SIMPLE,APARTMENT,False,True,1214,12,27,28,08A,1169735.0,1901764.0,2024,2024-12-21T15:40:46.000,41.885943666,-87.652150239,"{'latitude': '41.885943666', 'longitude': '-87.652150239', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13463714,JH267725,2024-05-01 00:01:00,070XX S PAXTON AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,False,False,331,3,5,43,11,1192102.0,1858561.0,2024,2024-12-21T15:40:46.000,41.766875979,-87.571422312,"{'latitude': '41.766875979', 'longitude': '-87.571422312', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13484373,JH293013,2024-05-01 00:01:00,028XX N WESTERN AVE,0610,BURGLARY,FORCIBLE ENTRY,OTHER (SPECIFY),False,False,1432,14,32,21,05,1159863.0,1918955.0,2024,2024-12-21T15:40:46.000,41.933326413,-87.687927299,"{'latitude': '41.933326413', 'longitude': '-87.687927299', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13481607,JH289652,2024-05-01 00:01:00,051XX N EAST RIVER RD,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,DRIVEWAY - RESIDENTIAL,False,False,1614,16,41,76,07,1116628.0,1932933.0,2024,2024-12-21T15:40:46.000,41.972467074,-87.846524652,"{'latitude': '41.972467074', 'longitude': '-87.846524652', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13485554,JH294441,2024-05-01 00:01:00,069XX S ASHLAND AVE,1120,DECEPTIVE PRACTICE,FORGERY,CURRENCY EXCHANGE,False,False,735,7,17,67,10,1166876.0,1858796.0,2024,2024-12-21T15:40:46.000,41.768096835,-87.663878589,"{'latitude': '41.768096835', 'longitude': '-87.663878589', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13497197,JH308365,2024-05-01 00:01:00,095XX S INDIANA AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,511,5,9,49,11,1179265.0,1841713.0,2024,2024-12-21T15:40:46.000,41.720945498,-87.618987165,"{'latitude': '41.720945498', 'longitude': '-87.618987165', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13500524,JH312329,2024-05-01 00:01:00,003XX E 132ND PL,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,RESIDENCE,False,False,533,5,9,54,11,1180852.0,1817697.0,2024,2024-12-21T15:40:46.000,41.655005926,-87.613908994,"{'latitude': '41.655005926', 'longitude': '-87.613908994', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13569026,JH394252,2024-05-01 00:01:00,049XX S RACINE AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,933,9,20,61,06,1169156.0,1872063.0,2024,2024-12-21T15:40:46.000,41.804454051,-87.655137737,"{'latitude': '41.804454051', 'longitude': '-87.655137737', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13637912,JH477050,2024-05-01 00:01:00,017XX N DRAKE AVE,0710,THEFT,THEFT FROM MOTOR VEHICLE,STREET,False,False,1422,14,26,23,06,1152546.0,1911456.0,2024,2024-12-21T15:40:46.000,41.91289652,-87.715015618,"{'latitude': '41.91289652', 'longitude': '-87.715015618', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13740992,JJ139625,2024-05-01 00:01:00,042XX S PULASKI RD,0610,BURGLARY,FORCIBLE ENTRY,COMMERCIAL / BUSINESS OFFICE,False,False,815,8,14,57,05,1150383.0,1876140.0,2024,2025-02-08T15:40:28.000,41.81602778,-87.723883074,"{'latitude': '41.81602778', 'longitude': '-87.723883074', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13446293,JH245481,2024-05-01 00:02:00,069XX S INDIANA AVE,0453,BATTERY,AGGRAVATED POLICE OFFICER - OTHER DANGEROUS WEAPON,STREET,False,False,322,3,6,69,04B,1178797.0,1858895.0,2024,2024-12-21T15:40:46.000,41.768105576,-87.620179762,"{'latitude': '41.768105576', 'longitude': '-87.620179762', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13445900,JH245492,2024-05-01 00:05:00,069XX S ASHLAND AVE,031A,ROBBERY,ARMED - HANDGUN,STREET,False,False,735,7,17,67,03,1166876.0,1858796.0,2024,2024-12-21T15:40:46.000,41.768096835,-87.663878589,"{'latitude': '41.768096835', 'longitude': '-87.663878589', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13445924,JH245501,2024-05-01 00:08:00,091XX S MERRILL AVE,1122,DECEPTIVE PRACTICE,COUNTERFEIT CHECK,RESIDENCE,False,False,413,4,7,48,10,1192097.0,1844853.0,2024,2024-12-21T15:40:46.000,41.729260168,-87.571885281,"{'latitude': '41.729260168', 'longitude': '-87.571885281', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
